id,tenant_id,agreement_id,source_type,source_id,entry_direction,amount,currency,period_month,spend_type,channel,cpl_id,fu_id,tactic_id,mechanic_id,is_reversed,reverses_entry_id,idempotency_key,description,created_by,created_at
01c31402-d772-4bf1-bde6-a638ccc8493f,598a895e-5a20-48cc-95bd-a52fe5d4bb65,7850c5cd-d19e-4eae-bd30-619b760f8bef,AGREEMENT,7850c5cd-d19e-4eae-bd30-619b760f8bef,DEBIT,5000.00,TRY,2026-02,OFF_INVOICE,NKA,2eded86b-ae2a-4097-92fb-f304c79c57e1,8c500433-8582-4c97-8601-76bc5ba191ce,e647e274-0ca6-49be-aa2f-0f6e4b380233,afcf9ffb-9741-42c5-b07b-e03c0de35588,t,,LEDGER|AGREEMENT|7850c5cd-d19e-4eae-bd30-619b760f8bef|1c043361-1935-4018-b6e3-c62e6078ef1d,,3b703dae-2955-40a1-affa-f94478da505f,2026-06-24 18:24:46.701856
ad765ad6-52a5-4566-a648-d5aee18e3a75,598a895e-5a20-48cc-95bd-a52fe5d4bb65,7850c5cd-d19e-4eae-bd30-619b760f8bef,AGREEMENT,7850c5cd-d19e-4eae-bd30-619b760f8bef,CREDIT,5000.00,TRY,2026-02,OFF_INVOICE,NKA,2eded86b-ae2a-4097-92fb-f304c79c57e1,8c500433-8582-4c97-8601-76bc5ba191ce,e647e274-0ca6-49be-aa2f-0f6e4b380233,afcf9ffb-9741-42c5-b07b-e03c0de35588,f,01c31402-d772-4bf1-bde6-a638ccc8493f,REVERSAL|LEDGER|01c31402-d772-4bf1-bde6-a638ccc8493f,Reversal of ledger entry 01c31402-d772-4bf1-bde6-a638ccc8493f,3b703dae-2955-40a1-affa-f94478da505f,2026-06-24 18:24:46.722451
5a24e4e0-5a99-46b3-8386-babe7642088a,598a895e-5a20-48cc-95bd-a52fe5d4bb65,7850c5cd-d19e-4eae-bd30-619b760f8bef,AGREEMENT,7850c5cd-d19e-4eae-bd30-619b760f8bef,DEBIT,5000.00,TRY,2026-02,OFF_INVOICE,NKA,2eded86b-ae2a-4097-92fb-f304c79c57e1,8c500433-8582-4c97-8601-76bc5ba191ce,e647e274-0ca6-49be-aa2f-0f6e4b380233,afcf9ffb-9741-42c5-b07b-e03c0de35588,t,,LEDGER|AGREEMENT|7850c5cd-d19e-4eae-bd30-619b760f8bef|ef76692f-bf9a-43d9-9612-156d79ad4822,,3b703dae-2955-40a1-affa-f94478da505f,2026-06-24 18:24:46.992054
ccbac091-3a28-4c76-8448-f834cdb5a36d,598a895e-5a20-48cc-95bd-a52fe5d4bb65,7850c5cd-d19e-4eae-bd30-619b760f8bef,AGREEMENT,7850c5cd-d19e-4eae-bd30-619b760f8bef,CREDIT,5000.00,TRY,2026-02,OFF_INVOICE,NKA,2eded86b-ae2a-4097-92fb-f304c79c57e1,8c500433-8582-4c97-8601-76bc5ba191ce,e647e274-0ca6-49be-aa2f-0f6e4b380233,afcf9ffb-9741-42c5-b07b-e03c0de35588,f,5a24e4e0-5a99-46b3-8386-babe7642088a,REVERSAL|LEDGER|5a24e4e0-5a99-46b3-8386-babe7642088a,Reversal of ledger entry 5a24e4e0-5a99-46b3-8386-babe7642088a,0e23990b-31a0-4ac2-be89-a46ebc8200d4,2026-06-24 18:24:47.00039
8bb02bfb-d2b1-42b3-ba5d-fc7c32c2f541,598a895e-5a20-48cc-95bd-a52fe5d4bb65,7850c5cd-d19e-4eae-bd30-619b760f8bef,AGREEMENT,7850c5cd-d19e-4eae-bd30-619b760f8bef,DEBIT,5000.00,TRY,2026-02,OFF_INVOICE,NKA,2eded86b-ae2a-4097-92fb-f304c79c57e1,8c500433-8582-4c97-8601-76bc5ba191ce,e647e274-0ca6-49be-aa2f-0f6e4b380233,afcf9ffb-9741-42c5-b07b-e03c0de35588,t,,LEDGER|AGREEMENT|7850c5cd-d19e-4eae-bd30-619b760f8bef|6fd05e99-81e0-4abb-be70-0918380327e0,,3b703dae-2955-40a1-affa-f94478da505f,2026-06-24 18:24:47.048097
f66314e7-7d6a-41ce-b44a-ce2facccdac1,598a895e-5a20-48cc-95bd-a52fe5d4bb65,7850c5cd-d19e-4eae-bd30-619b760f8bef,AGREEMENT,7850c5cd-d19e-4eae-bd30-619b760f8bef,CREDIT,5000.00,TRY,2026-02,OFF_INVOICE,NKA,2eded86b-ae2a-4097-92fb-f304c79c57e1,8c500433-8582-4c97-8601-76bc5ba191ce,e647e274-0ca6-49be-aa2f-0f6e4b380233,afcf9ffb-9741-42c5-b07b-e03c0de35588,f,8bb02bfb-d2b1-42b3-ba5d-fc7c32c2f541,REVERSAL|LEDGER|8bb02bfb-d2b1-42b3-ba5d-fc7c32c2f541,Reversal of ledger entry 8bb02bfb-d2b1-42b3-ba5d-fc7c32c2f541,3b703dae-2955-40a1-affa-f94478da505f,2026-06-24 18:24:47.055955
8f06472e-6fa8-4aa7-acc5-b6a3c340635d,598a895e-5a20-48cc-95bd-a52fe5d4bb65,7850c5cd-d19e-4eae-bd30-619b760f8bef,AGREEMENT,7850c5cd-d19e-4eae-bd30-619b760f8bef,DEBIT,5000.00,TRY,2026-02,OFF_INVOICE,NKA,2eded86b-ae2a-4097-92fb-f304c79c57e1,8c500433-8582-4c97-8601-76bc5ba191ce,e647e274-0ca6-49be-aa2f-0f6e4b380233,afcf9ffb-9741-42c5-b07b-e03c0de35588,t,,LEDGER|AGREEMENT|7850c5cd-d19e-4eae-bd30-619b760f8bef|7fe3a797-a0db-4756-8fe0-2c63a92b3126,,3b703dae-2955-40a1-affa-f94478da505f,2026-06-24 18:24:47.118926
a3cd3548-05cc-4602-955f-be40160589d6,598a895e-5a20-48cc-95bd-a52fe5d4bb65,7850c5cd-d19e-4eae-bd30-619b760f8bef,AGREEMENT,7850c5cd-d19e-4eae-bd30-619b760f8bef,CREDIT,5000.00,TRY,2026-02,OFF_INVOICE,NKA,2eded86b-ae2a-4097-92fb-f304c79c57e1,8c500433-8582-4c97-8601-76bc5ba191ce,e647e274-0ca6-49be-aa2f-0f6e4b380233,afcf9ffb-9741-42c5-b07b-e03c0de35588,f,8f06472e-6fa8-4aa7-acc5-b6a3c340635d,REVERSAL|LEDGER|8f06472e-6fa8-4aa7-acc5-b6a3c340635d,Reversal of ledger entry 8f06472e-6fa8-4aa7-acc5-b6a3c340635d,3b703dae-2955-40a1-affa-f94478da505f,2026-06-24 18:24:47.128255
ec58bc32-8002-442f-b522-aaf0d6889109,598a895e-5a20-48cc-95bd-a52fe5d4bb65,7850c5cd-d19e-4eae-bd30-619b760f8bef,AGREEMENT,7850c5cd-d19e-4eae-bd30-619b760f8bef,DEBIT,5000.00,TRY,2026-02,OFF_INVOICE,NKA,2eded86b-ae2a-4097-92fb-f304c79c57e1,8c500433-8582-4c97-8601-76bc5ba191ce,e647e274-0ca6-49be-aa2f-0f6e4b380233,afcf9ffb-9741-42c5-b07b-e03c0de35588,t,,LEDGER|AGREEMENT|7850c5cd-d19e-4eae-bd30-619b760f8bef|93d48fad-a787-4245-8a22-beb073855b27,,3b703dae-2955-40a1-affa-f94478da505f,2026-06-24 18:25:55.248734
aa127276-6257-446e-92f2-88388659888d,598a895e-5a20-48cc-95bd-a52fe5d4bb65,7850c5cd-d19e-4eae-bd30-619b760f8bef,AGREEMENT,7850c5cd-d19e-4eae-bd30-619b760f8bef,CREDIT,5000.00,TRY,2026-02,OFF_INVOICE,NKA,2eded86b-ae2a-4097-92fb-f304c79c57e1,8c500433-8582-4c97-8601-76bc5ba191ce,e647e274-0ca6-49be-aa2f-0f6e4b380233,afcf9ffb-9741-42c5-b07b-e03c0de35588,f,ec58bc32-8002-442f-b522-aaf0d6889109,REVERSAL|LEDGER|ec58bc32-8002-442f-b522-aaf0d6889109,Reversal of ledger entry ec58bc32-8002-442f-b522-aaf0d6889109,3b703dae-2955-40a1-affa-f94478da505f,2026-06-24 18:25:55.258944
